Fiscal Year,Program Area,Department,Budget Unit,Major Object,Expense Category,Account Name,Approved Amount,Recommended Amount
2013,Public Protection,Sheriff's Office,Sheriffs Countywide Services,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-2049025.00,-2049025.00
2014,Public Protection,Sheriff's Office,Sheriffs Countywide Services,Other Charges,Other Charges,Total of Other Charges,77388.00,77388.00
2013,Public Protection,Sheriff's Office,Sheriffs Countywide Services,Other Charges,Other Charges,Total of Other Charges,77388.00,77388.00
2015,Public Protection,Sheriff's Office,Sheriffs Countywide Services,Other Charges,Other Charges,Total of Other Charges,77388.00,77388.00
2014,Public Protection,Sheriff's Office,Sheriffs Countywide Services,Fixed Assets,Fixed Assets,Total of Fixed Assets,106400.00,106400.00
2013,Public Protection,Sheriff's Office,Sheriffs Countywide Services,Fixed Assets,Fixed Assets,Total of Fixed Assets,210000.00,210000.00
2015,Public Protection,Sheriff's Office,Sheriffs Countywide Services,Fixed Assets,Fixed Assets,Total of Fixed Assets,650600.00,650600.00
2014,Public Protection,Sheriff's Office,Sheriffs Countywide Services,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,2061058.00,2073680.00
2013,Public Protection,Sheriff's Office,Sheriffs Countywide Services,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,2073680.00,2065425.00
2015,Public Protection,Sheriff's Office,Sheriffs Countywide Services,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,2344101.00,2378558.00
2014,Public Protection,Sheriff's Office,Sheriffs Countywide Services,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,2994734.00,2965034.00
2015,Public Protection,Sheriff's Office,Sheriffs Countywide Services,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,3107417.00,3115593.00
2013,Public Protection,Sheriff's Office,Sheriffs Countywide Services,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,3117479.00,3117479.00
2014,Public Protection,Sheriff's Office,Sheriffs Countywide Services,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,17727461.00,17744539.00
2015,Public Protection,Sheriff's Office,Sheriffs Countywide Services,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,18239464.00,18217967.00
2013,Public Protection,Sheriff's Office,Sheriffs Countywide Services,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,18326456.00,18334711.00
2013,Public Protection,Sheriff's Office,Sheriffs Grants,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,116649.00,116649.00
2015,Public Protection,Sheriff's Office,Sheriffs Grants,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,126137.00,129439.00
2014,Public Protection,Sheriff's Office,Sheriffs Grants,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,126221.00,126221.00
2013,Public Protection,Sheriff's Office,Sheriffs Grants,Fixed Assets,Fixed Assets,Total of Fixed Assets,917033.00,917033.00
2015,Public Protection,Sheriff's Office,Sheriffs Grants,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,2997141.00,2997141.00
2014,Public Protection,Sheriff's Office,Sheriffs Grants,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,2997141.00,2997141.00
2013,Public Protection,Sheriff's Office,Sheriffs Grants,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,2997141.00,2997141.00
2014,Public Protection,Sheriff's Office,Sheriffs Grants,Fixed Assets,Fixed Assets,Total of Fixed Assets,3303788.00,3303788.00
2015,Public Protection,Sheriff's Office,Sheriffs Grants,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,4196461.00,4196461.00
2014,Public Protection,Sheriff's Office,Sheriffs Grants,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,4733388.00,4733388.00
2013,Public Protection,Sheriff's Office,Sheriffs Grants,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,6972254.00,6972254.00
2015,Public Protection,Sheriff's Office,Sheriffs Law Enforcement - ETS-Contracts,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-4640249.00,-4640249.00
2014,Public Protection,Sheriff's Office,Sheriffs Law Enforcement - ETS-Contracts,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-3999309.00,-3999309.00
2013,Public Protection,Sheriff's Office,Sheriffs Law Enforcement - ETS-Contracts,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-3689259.00,-3689259.00
2014,Public Protection,Sheriff's Office,Sheriffs Law Enforcement - ETS-Contracts,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-182728.00,-182728.00
2015,Public Protection,Sheriff's Office,Sheriffs Law Enforcement - ETS-Contracts,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-163520.00,-163520.00
2014,Public Protection,Sheriff's Office,Sheriffs Law Enforcement - ETS-Contracts,Fixed Assets,Fixed Assets,Total of Fixed Assets,64067.00,64067.00
2015,Public Protection,Sheriff's Office,Sheriffs Law Enforcement - ETS-Contracts,Fixed Assets,Fixed Assets,Total of Fixed Assets,477608.00,477608.00
2013,Public Protection,Sheriff's Office,Sheriffs Law Enforcement - ETS-Contracts,Fixed Assets,Fixed Assets,Total of Fixed Assets,484702.00,484702.00
2013,Public Protection,Sheriff's Office,Sheriffs Law Enforcement - ETS-Contracts,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,6155161.00,6155161.00
2013,Public Protection,Sheriff's Office,Sheriffs Law Enforcement - ETS-Contracts,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,6529785.00,6529785.00
2014,Public Protection,Sheriff's Office,Sheriffs Law Enforcement - ETS-Contracts,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,6567857.00,6567857.00
2015,Public Protection,Sheriff's Office,Sheriffs Law Enforcement - ETS-Contracts,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,6755255.00,6919981.00
2014,Public Protection,Sheriff's Office,Sheriffs Law Enforcement - ETS-Contracts,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,6824595.00,6835254.00
2015,Public Protection,Sheriff's Office,Sheriffs Law Enforcement - ETS-Contracts,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,7183597.00,7869176.00
2013,Public Protection,Sheriff's Office,Sheriffs Law Enforcement - ETS-Contracts,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,54367590.00,54367590.00
2014,Public Protection,Sheriff's Office,Sheriffs Law Enforcement - ETS-Contracts,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,59892604.00,59703132.00
2015,Public Protection,Sheriff's Office,Sheriffs Law Enforcement - ETS-Contracts,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,65355824.00,65191098.00
2014,Public Protection,Sheriff's Office,Sheriff's Office,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-189344.00,-189344.00
2015,Public Protection,Sheriff's Office,Sheriff's Office,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-167880.00,-167880.00
2013,Public Protection,Sheriff's Office,Sheriff's Office,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-159882.00,-159882.00
2014,Public Protection,Sheriff's Office,Sheriff's Office,Fixed Assets,Fixed Assets,Total of Fixed Assets,98000.00,98000.00
2015,Public Protection,Sheriff's Office,Sheriff's Office,Fixed Assets,Fixed Assets,Total of Fixed Assets,115190.00,115190.00
2013,Public Protection,Sheriff's Office,Sheriff's Office,Fixed Assets,Fixed Assets,Total of Fixed Assets,134000.00,134000.00
2013,Public Protection,Sheriff's Office,Sheriff's Office,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,3650177.00,3650177.00
2014,Public Protection,Sheriff's Office,Sheriff's Office,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,3800539.00,3800539.00
2015,Public Protection,Sheriff's Office,Sheriff's Office,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,4347858.00,4393883.00
2013,Public Protection,Sheriff's Office,Sheriff's Office,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,4588010.00,4588010.00
2014,Public Protection,Sheriff's Office,Sheriff's Office,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,4765637.00,4765637.00
2015,Public Protection,Sheriff's Office,Sheriff's Office,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,4850049.00,5218789.00
2013,Public Protection,Sheriff's Office,Sheriff's Office,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,18655257.00,18655257.00
2014,Public Protection,Sheriff's Office,Sheriff's Office,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,18677581.00,18677581.00
2015,Public Protection,Sheriff's Office,Sheriff's Office,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,19682984.00,19636959.00
2013,Public Protection,Sheriff's Office,Sheriff's Office,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-44406.00,-44406.00
2014,Public Protection,Sheriff's Office,Sheriff's Office,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-44406.00,-44406.00
2015,Public Protection,Sheriff's Office,Sheriff's Office,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-34177.00,-34177.00
2014,Public Protection,Sheriff's Office,Sheriff's Office,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-54635.00,-54635.00
2013,Public Protection,Sheriff's Office,Sheriff's Office,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-54635.00,-54635.00
2015,Public Protection,Sheriff's Office,Sheriff's Office,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-54635.00,-54635.00
2013,Public Protection,Trial Court Funding,Court Security Realignment,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,225138.00,225138.00
2013,Public Protection,Trial Court Funding,Court Security Realignment,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,490443.00,490443.00
2013,Public Protection,Trial Court Funding,Court Security Realignment,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,19118628.00,19118628.00
2013,Public Protection,Trial Court Funding,Trial Court Funding,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,693821.00,693821.00
2014,Public Protection,Trial Court Funding,Trial Court Funding,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,720412.00,720412.00
2015,Public Protection,Trial Court Funding,Trial Court Funding,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,877548.00,877548.00
2013,Public Protection,Trial Court Funding,Trial Court Funding,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,2366700.00,2366700.00
2014,Public Protection,Trial Court Funding,Trial Court Funding,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,2476862.00,2476862.00
2015,Public Protection,Trial Court Funding,Trial Court Funding,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,2830225.00,2830225.00
2013,Public Protection,Trial Court Funding,Trial Court Funding,Other Charges,Other Charges,Total of Other Charges,5308416.00,5308416.00
2014,Public Protection,Trial Court Funding,Trial Court Funding,Other Charges,Other Charges,Total of Other Charges,5308416.00,5308416.00
2015,Public Protection,Trial Court Funding,Trial Court Funding,Other Charges,Other Charges,Total of Other Charges,5668263.00,5668263.00
2013,Public Protection,Trial Court Funding,Trial Court Funding,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,30681301.00,30681301.00
2014,Public Protection,Trial Court Funding,Trial Court Funding,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,30689305.00,30689305.00
2015,Public Protection,Trial Court Funding,Trial Court Funding,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,30745332.00,30745332.00
